algorithm,throughput_ops_sec,latency_ms,memory_bytes,total_time_sec,vs_baseline_pct
SHA-256,501.65617710916155,1.9933971624999995,470,19.933971624999998,0.0
"ESHA-256 (Python, masked)",459.7565715074291,2.1750640708,720,21.750640708,-8.352255491636255
"ESHA-256 (Python, unmasked)",457.64068652693,2.1851204,716,21.851204000000003,-8.774035403266586
"ESHA-256 (SIMD ARM NEON, masked)",654.863767749029,1.527035162499999,724,15.27035162499999,30.540357645497323
"ESHA-256 (SIMD ARM NEON, unmasked)",676.1281485817808,1.4790095665999998,720,14.790095666,34.77919328693002
