test_id,value,hamming_weight,sha256_power,esha256_power,sha256_correlation,esha256_correlation
1,3687690949,19,17.81993806571855,15.861795847837005,0.9761305105435292,0.0037287973169917834
2,1054439111,20,20.55037304086742,15.957232269049147,0.9761305105435292,0.0037287973169917834
3,3596029230,17,16.85262762815385,17.316472996730692,0.9761305105435292,0.0037287973169917834
4,1392628789,13,13.11507172852276,16.380100576241272,0.9761305105435292,0.0037287973169917834
5,3943433542,13,12.60083186945241,15.320100596521334,0.9761305105435292,0.0037287973169917834
6,757042234,16,15.932342834270662,13.871323273577442,0.9761305105435292,0.0037287973169917834
7,2390710042,19,18.695315957119817,15.16588370896402,0.9761305105435292,0.0037287973169917834
8,350491950,13,12.379747364932562,15.050190179480685,0.9761305105435292,0.0037287973169917834
9,3140893468,18,18.06249644912035,15.27903077293848,0.9761305105435292,0.0037287973169917834
10,3636502913,11,10.64540922825434,16.149319678873663,0.9761305105435292,0.0037287973169917834
11,448680337,15,14.888383930895433,16.15352463303963,0.9761305105435292,0.0037287973169917834
12,2042304925,19,18.785297379946094,15.40646945638208,0.9761305105435292,0.0037287973169917834
13,2984365693,19,18.212124895547948,18.03141192511925,0.9761305105435292,0.0037287973169917834
14,4079240030,16,16.795294656821053,16.335383569052276,0.9761305105435292,0.0037287973169917834
15,4002325751,20,19.337806346283593,17.287861416179076,0.9761305105435292,0.0037287973169917834
16,2980658468,15,15.030133608435577,14.87779160429811,0.9761305105435292,0.0037287973169917834
17,3989984504,18,16.847040191035184,16.174834360612564,0.9761305105435292,0.0037287973169917834
18,366265552,13,13.136691438678204,14.502983232412054,0.9761305105435292,0.0037287973169917834
19,4048596814,17,17.693568897590115,16.365032977887523,0.9761305105435292,0.0037287973169917834
20,2793806321,15,14.612199900921459,15.165373872071607,0.9761305105435292,0.0037287973169917834
21,291299700,14,13.71888069801193,18.187513932018433,0.9761305105435292,0.0037287973169917834
22,3235071077,13,13.664252006739304,15.647913544479334,0.9761305105435292,0.0037287973169917834
23,1516874349,17,17.49672949121193,16.892195027162025,0.9761305105435292,0.0037287973169917834
24,1119597116,16,15.013164550808801,15.26141025754815,0.9761305105435292,0.0037287973169917834
25,2581865725,17,16.77726559693513,16.173757292313063,0.9761305105435292,0.0037287973169917834
26,1420383381,14,12.986952841106808,15.32894085475281,0.9761305105435292,0.0037287973169917834
27,3259246236,12,13.332221212631401,15.997210925845124,0.9761305105435292,0.0037287973169917834
28,2425575646,15,16.193377695541276,15.726820990720238,0.9761305105435292,0.0037287973169917834
29,176819610,12,12.508420995743048,16.21707462707002,0.9761305105435292,0.0037287973169917834
30,1720895027,15,14.561426319779667,18.20053300663114,0.9761305105435292,0.0037287973169917834
31,766073865,14,14.407905727667199,15.236224311962184,0.9761305105435292,0.0037287973169917834
