test_id,document_size,sign_time_ms,verify_time_ms,signature_valid,tamper_detected
1,891,3.638540999999995,1.548459000000002,1,1
2,891,1.916165999999997,1.3618330000000345,1,1
3,891,1.9935829999999655,1.347333000000006,1,1
4,891,2.0198750000000043,1.3480000000000159,1,1
5,891,2.226916999999995,1.3000000000000234,1,1
6,891,2.0018749999999863,1.4052920000000024,1,1
7,891,2.0412499999999945,1.3824579999999753,1,1
8,891,2.041375000000012,1.574542000000012,1,1
9,891,1.9789590000000024,1.3642919999999892,1,1
10,892,2.0244999999999846,1.373750000000007,1,1
11,892,2.0504159999999994,1.3645420000000241,1,1
12,892,2.0448750000000016,1.3747499999999802,1,1
13,892,1.9523749999999507,1.3467500000000077,1,1
14,892,2.020207999999968,1.354917000000011,1,1
15,892,2.094334000000031,1.265416999999991,1,1
16,892,1.9679169999999857,1.32525,1,1
17,892,2.0017920000000022,1.3366660000000419,1,1
18,892,2.046749999999986,1.3684579999999613,1,1
19,892,2.1180000000000088,1.4044169999999911,1,1
20,892,2.070499999999975,1.3664999999999927,1,1
21,892,2.0527920000000255,1.3672080000000086,1,1
22,892,2.052416999999973,1.4982910000000405,1,1
23,892,1.9885000000000042,1.350208999999991,1,1
24,892,1.966291000000009,1.3101249999999953,1,1
25,892,2.049124999999985,1.3726250000000162,1,1
26,892,2.118958000000004,1.335875000000042,1,1
27,892,2.004541999999998,1.31524999999999,1,1
28,892,2.011415999999988,1.3709159999999998,1,1
29,892,2.0475830000000195,1.3033749999999955,1,1
30,892,2.016374999999959,1.3650829999999892,1,1
31,892,2.205583000000011,1.357708000000013,1,1
32,892,2.252291999999989,1.3780840000000016,1,1
33,892,3.191083000000039,1.5060410000000135,1,1
34,892,2.0666249999999886,1.5390000000000126,1,1
35,892,2.092291000000024,1.4527080000000248,1,1
36,892,2.4427499999999935,1.3663749999999752,1,1
37,892,2.0750829999999776,1.549624999999999,1,1
38,892,2.068166999999954,1.448541999999997,1,1
39,892,2.3234999999999784,1.5098749999999939,1,1
40,892,2.078499999999983,1.2987909999999658,1,1
41,892,2.12904199999997,1.5450000000000186,1,1
42,892,2.088541999999971,1.7758750000000378,1,1
43,892,2.0267090000000154,1.4376669999999758,1,1
44,892,2.1807089999999474,1.4879999999999893,1,1
45,892,2.1170000000000355,1.6331660000000192,1,1
46,892,2.082208999999946,1.3607499999999662,1,1
47,892,2.1100830000000403,1.531833000000038,1,1
48,892,2.0649999999999835,1.4020840000000256,1,1
49,892,2.321916999999951,1.4762919999999902,1,1
50,891,2.2147920000000765,1.571499999999948,1,1
51,891,2.1925000000000416,1.4458340000000902,1,1
52,891,2.1224590000000765,1.4556249999999604,1,1
53,891,2.0281249999999362,1.387417000000002,1,1
54,891,2.1240000000000148,1.4673750000000485,1,1
55,891,2.2497919999999727,1.4183329999999383,1,1
56,891,2.0006670000000115,1.3565000000000937,1,1
57,891,1.9897090000000617,1.325291999999978,1,1
58,891,2.020542000000014,1.3643750000000843,1,1
59,891,1.9133340000000443,1.326999999999967,1,1
60,892,2.0045839999999204,1.3460830000000534,1,1
61,892,1.9840840000000526,1.3507080000000338,1,1
62,892,2.04800000000005,1.2730829999999527,1,1
63,892,1.9905420000000396,1.3279999999999959,1,1
64,892,2.0252499999999785,1.3738749999999689,1,1
65,892,2.975541999999942,1.3939169999999113,1,1
66,892,2.019416999999968,1.3508749999999736,1,1
67,892,2.045375000000016,1.3729579999999242,1,1
68,892,2.019499999999952,1.3563749999999652,1,1
69,892,2.0087500000000036,1.2678749999999184,1,1
70,892,2.0067080000000237,1.3565830000000778,1,1
71,892,2.043832999999995,1.3992080000000406,1,1
72,892,2.0650000000000945,1.4459589999999967,1,1
73,892,1.9760409999999284,1.3349579999999417,1,1
74,892,2.044292000000003,1.359832999999977,1,1
75,892,2.024958000000021,1.3518750000000024,1,1
76,892,2.03995899999998,1.31133299999997,1,1
77,892,1.9929160000000667,1.3694160000000677,1,1
78,892,2.041041000000021,1.3777090000000047,1,1
79,892,2.0438750000000283,1.4192079999999496,1,1
80,892,1.9019999999999593,1.2787090000000445,1,1
81,892,1.9797080000000244,1.3361670000000547,1,1
82,892,1.9623329999999273,1.333042000000062,1,1
83,892,2.0272080000000026,1.287332999999946,1,1
84,892,1.974917000000076,1.3318749999999824,1,1
85,892,1.9907080000000077,1.3717079999999715,1,1
86,892,2.005875000000046,1.3610830000000407,1,1
87,892,2.0172500000000815,1.365375000000002,1,1
88,892,2.0192920000000614,1.3607500000000217,1,1
89,892,2.0657090000000267,1.3942500000000413,1,1
90,892,2.061958000000086,1.383583000000077,1,1
91,892,2.0272920000000694,1.3752089999999884,1,1
92,892,2.033541000000083,1.3849169999999855,1,1
93,892,2.02783300000009,1.367832999999985,1,1
94,892,1.941541000000102,1.369041999999987,1,1
95,892,2.0254169999999183,1.366540999999999,1,1
96,892,2.0554580000000655,1.3984169999999851,1,1
97,892,3.0747920000000484,1.371000000000011,1,1
98,892,2.0546250000000876,1.3983750000000628,1,1
99,892,2.075083000000033,1.3822500000000293,1,1
100,891,2.048415999999942,1.4116249999999164,1,1
